ability|cognition,knowledge,power,quality|inability
action|accomplish,activeness,activity,challenge,complete,drive,effect,effectuate,execute,finish,fulfil,fulfill,litigate,mechanism,plot,proceeding,proceedings,process,state,work|inaction,inactivity
activate|actuate,aerate,alter,change,initiate,modify,pioneer,spark,trigger,trip|inactivate
activation|activity,beginning,commencement,start,stimulation|deactivation,inactivation
activator|matter,substance|inhibitor
active|about,acrobatic,activist,agile,alive,astir,athletic,brisk,bustling,busy,dynamic,energetic,eruptive,existent,existing,fighting,going,gymnastic,hands-on,hyperactive,individual,involved,live,lively,mortal,nimble,open,operational,overactive,person,proactive,progressive,quick,somebody,someone,soul,sporty,springy,spry,voice|inactive,dormant,passive,quiet,extinct
activeness|action,activity,state,trait|inaction,inactivity
activity|action,activeness,capability,capacity,process,state,trait|inactivity,inaction
actual|current,effective,existent,factual,genuine,literal,real,true|potential
acute|accent,ague,critical,incisive,intense,keen,penetrating,penetrative,perceptive,piercing,pointed,sharp|obtuse,chronic
acutely|astutely,sagaciously,sharp,sharply,shrewdly|chronically
acuteness|acuity,intelligence,keenness,sensibility,sensitivity,sharpness|obtuseness
addition|accession,acquisition,add-on,component,constituent,element,gain,increase,plus,step-up,suburb,suburbia,summation|subtraction
adequacy|adequateness,quality,sufficiency|inadequacy
adjust|accommodate,adapt,adjudicate,align,alter,change,conform,correct,decide,modify,reorient,resolve,settle|skew
admissible|allowable,permissible|inadmissible
admit|accept,accommodate,acknowledge,adjudge,allow,countenance,declare,have,hold,include,permit,serve,take|deny,reject,exclude
adopted|adoptive|native
adoptive|adopted,foster,surrogate|native,biological
adroit|artful,clean,clever,cunning,deft,dexterous,dextrous,handy,ingenious,neat,quick-witted|maladroit
advantage|asset,benefit,favor,plus,point,prefer,reward,vantage,welfare|penalty,disadvantage
advisable|best,better,prudent,well,wise|inadvisable
advised|considered,informed,well-advised,wise|ill-advised
advisedly|deliberately,purposely|accidentally
afloat|adrift,aimless,awash,floating,full,purposeless,rudderless,waterborne|aground,sunken
agreeably|enjoyably,pleasantly|disagreeably,unpleasantly
aground|stranded|afloat,sunken
ahead|before,beforehand,forward,forwards,leading,onward,onwards|back,backward
alas|regrettably,unluckily|fortunately,luckily
alfresco|open-air,out-of-door,outdoor,outdoors,outside|indoors,inside
alkaline|basic|acidic
allow|accept,admit,afford,allot,allow,appropriate,assign,calculate,consent,countenance,discount,earmark,estimate,figure,forecast,give,grant,leave,permit,portion,provide,reckon,reserve,tolerate,yield|disallow,forbid
also-ran|contestant,loser|winner
alternate|alter,alternative,backup,change,cyclic,cyclical,exchange,fill-in,flip,flip-flop,interchange,jump,learn,memorize,move,relief,reliever,replacement,reverse,secondary,stand-in,substitute,surrogate,switch,tack,turn,understudy,vary|opposite
altogether|completely,entirely,nakedness,nudity,totally,whole,wholly|partly
altruism|selflessness|egoism
altruistic|selfless,unselfish|egoistic
always|e'er,ever,forever|never
amateur|amateurish,athlete,individual,inexpert,jock,mortal,person,recreational,somebody,someone,soul,unpaid,unskilled|professional
ambidextrous|deceitful,dishonest,dishonorable,duplicitous,two-faced,two-handed|left-handed,right-handed
amoral|neutral,unmoral|immoral,moral
amphibious|amphibian,class|aquatic,terrestrial
analogous|similar|homologous
analysis|calculus,criticism,reasoning,style|synthesis
analytic|analytical,calculus,deductive,logical|synthetic
analytical|analytic,deductive,logical|synthetic
analyze|canvas,canvass,dissect,examine,study,treat|synthesize
androgynous|bisexual,unisex|female,male
animal|beast,being,brute,carnal,catlike,creature,fauna,fleshly,organism,physical,sensual|mineral,vegetable
annual|flora,period,plant,reference,yearbook,yearly|biennial,perennial
anterior|antecedent,front,frontal,preceding,prior,tooth|posterior
anticyclone|atmosphere|cyclone
antonym|opposite,word|antonym,synonym
antonymous|contrary,converse,incompatible|antonymous,synonymous
appear|execute,happen,look,materialize,perform,seem|disappear
appetizing|palatable,savory,tasty,toothsome|unappetizing
applied|practical|theoretical
apply|administer,allot,bespeak,commit,compel,concern,consecrate,cover,deal,dedicate,denote,devote,dispense,distribute,employ,enforce,give,hold,implement,obligate,oblige,pertain,practice,quest,refer,relate,request,touch,utilize|exempt,defy
appointed|appointive,furnished,nominative,settled|elective
appointive|appointed,conclusion,decision,nominative|elective
aquatic|flora,liquid,marine,plant,submerged,underwater|amphibious,terrestrial
aright|correctly,right|incorrectly,wrongly
armament|arms,mobilization,munition,weaponry|disarmament,disarming
armed|barbed,bristly,prickly,spiny,thorny|unarmed
armored|bulletproof,mailed,scaled,scaly|unarmored
arouse|affect,alter,awake,awaken,brace,change,conjure,create,elicit,energize,evoke,excite,fire,invoke,kindle,make,modify,move,provoke,raise,rouse,shake,stimulate,stir,turn,wake,waken|sedate
arrange|agree,change,coif,coiffure,compose,concord,concur,dress,format,groom,hold,initiate,neaten,order,organize,pioneer,place,pose,position,stage,write|disarrange
arrive|come,succeed|leave
arrogate|arrogate,assign,assume,bespeak,claim,quest,request,seize,take,usurp|forfeit
associate|affiliate,assort,attendant,cerebrate,cogitate,companion,compeer,comrade,concomitant,connect,consort,degree,equal,familiar,fellow,friend,interact,link,low-level,match,peer,relate,subordinate,think,unify,unite|dissociate
assure|affirm,ascertain,assert,aver,avow,calm,check,control,declare,ensure,guarantee,insure,lull,persuade,promise,quiet,reassure,secure,still,swan,swear,tell,tranquilize,tranquillize,verify|worry
astern|abaft|fore
asymmetric|asymmetrical,irregular,lopsided|symmetrical
asymmetrical|asymmetric,crooked,irregular,lopsided|symmetrical
asymmetry|imbalance|symmetry
attach|adjoin,bind,bond,confiscate,conjoin,connect,contact,impound,join,link,meet,relate,seize,sequester,take,touch|detach
attachable|clip-on|detachable
attack|affect,affliction,approach,assail,assault,attempt,begin,beginning,blast,commence,commencement,contend,crime,criticism,criticize,degeneration,devolution,fight,fire,flack,flak,formulation,knock,move,onrush,onset,onslaught,operation,play,round,snipe,start,struggle,turn|defend
attend|accompany,advert,assist,care,hang,help,listen,look,serve|miss
attention|attraction,care,courtesy,faculty,magnet,module,stance,work|inattention
attentive|absorbed,captive,concerned,engrossed,heedful,intent,observant,solicitous,thoughtful|inattentive,heedless
attract|appeal,draw,force,pull|repel
attraction|draw,entertainer,feature,force,magnet,quality,show|repulsion
attractive|appealing,beautiful,bewitching,captivating,charismatic,cunning,cute,dinky,enchanting,engaging,enthralling,entrancing,fascinating,fetching,hypnotic,inviting,irresistible,magnetic,mesmerizing,personable,photogenic,piquant,pleasing,seductive,spellbinding,taking,winning,winsome|unattractive,repulsive
atypical|abnormal,irregular,untypical|typical
audible|clunky,loud,perceptible,sonic,sounding|inaudible
augmentation|increase,statement,step-up|diminution
aunt|auntie,aunty,kinswoman|uncle
auntie|aunt,aunty,kinswoman|uncle
aunty|aunt,auntie,kinswoman|uncle
aurora|cockcrow,dawn,daybreak,hour,morning,sunrise,sunup|sunset
autumnal|mature|summery,vernal,wintry
available|accessible,acquirable,disposable,easy,forthcoming,free,obtainable,open,procurable,purchasable,ready,uncommitted,usable,useable,visible|unavailable
avoid|abstain,annul,avert,cancel,debar,deflect,desist,forbid,foreclose,forestall,invalidate,nullify,obviate,preclude,prevent,quash,refrain,void|confront,validate
avoirdupois|blubber,fatness,weight|leanness
avouch|acknowledge,admit,avow|disavow
avow|acknowledge,admit,affirm,assert,aver,avouch,declare,swan,swear,verify|disavow
awake|alert,alive,arouse,astir,awaken,aware,cognizant,conscious,insomniac,sleepless,turn,wake,wakeful,waken,waking,watchful,wide-awake|asleep
aware|alert,alive,awake,careful,cognizant,conscious,evocative,heedful,mindful,redolent,reminiscent,sensible,sensitive,witting|unaware,unmindful,unwitting
away|absent,aside,departed,forth,gone,inaccurate,outside|home
awful|abominable,alarming,amazing,atrocious,awed,awesome,awfully,dire,direful,dirty,dread,dreaded,dreadful,fearful,fearsome,filthy,frightening,frightful,frightfully,hateful,horrendous,horrific,impressive,lousy,mean,nasty,painful,reverent,terrible,terribly,tremendous,unpleasant,unspeakable|nice
awkward|clumsy,clunky,cumbersome,difficult,embarrassing,gawky,graceless,hard,inapt,inconvenient,inept,infelicitous,labored,maladroit,sticky,strained,ugly,uneasy,unenviable,ungainly,ungraceful,unmanageable,unwieldy,wooden|graceful
awkwardness|bearing,carriage,clumsiness,disadvantage,inelegance,ineptitude,ineptness,posture,slowness,stiffness,unwieldiness,worriment|gracefulness
back|affirm,approve,backbone,backrest,backward,backwards,binding,confirm,corroborate,cover,endorse,finance,gage,game,hind,hinder,hindmost,indorse,move,okay,place,play,position,posterior,protection,punt,rear,rearmost,rearward,rearwards,sanction,second,shift,side,spine,stake,strengthen,substantiate,support,sustain,switch,travel,wager|front,advance,veer,ahead,forward
background|accent,accentuate,aspect,attendant,backdrop,concomitant,desktop,disturbance,downplay,emphasize,environment,ground,heritage,information,inheritance,interference,noise,panorama,prospect,punctuate,scene,scenery,scope,screen,setting,stress,view,vista|foreground
backward|back,backwards,bashful,converse,inverse,rearward,rearwards,reflexive,regressive,retarded,retrograde,reverse,sweptback,timid|ahead,forward
badly|gravely,naughtily,poorly,seriously,severely|well
badness|disobedience,intensity,naughtiness,quality,severeness,severity|good,goodness
bank|array,backlog,believe,camber,cant,container,cover,deposit,depository,enclose,finances,funds,give,incline,inclose,rely,repository,reserve,ridge,side,slope,stockpile,swear,transact,trust,work|distrust,mistrust
basic|alkaline,basal,base,canonical,commodity,elemental,elementary,first,fundamental,good,introductory,primary,radical,rudimentary,standard,staple,underlying|incidental
befittingly|fitly,fittingly,suitably|unsuitably
beginning|commencement,division,first,happening,kickoff,occurrence,offset,opening,origin,outset,part,point,root,section,source,start|middle
being|existence,organism,state|nonexistence
believably|credibly,plausibly,probably|unbelievably
below|beneath,downstairs,infra,under|above,upstairs
bemire|alter,begrime,change,dirty,grime,modify,soil|clean
bend|angularity,bend,crease,crimp,crook,crouch,curve,deflect,deform,flex,fold,motion,move,movement,ordinary,section,segment,stoop,town,turn,twist|unbend,straighten
beneath|below|above
beneficence|benevolence,good,goodness|maleficence
beneficent|benevolent,charitable,eleemosynary,kind|maleficent
benevolence|benefaction,benignity,kindness,love|malevolence
benignity|action,good,goodness,graciousness,kindness|malignancy,malignity
biennial|biyearly,flora,period,plant|annual,perennial
bigness|largeness,size|littleness,smallness
biped|animal,beast,bipedal,brute,creature,fauna|quadruped,quadrupedal
bipedal|biped|quadruped,quadrupedal
bisexual|androgynous,sensualist|heterosexual,homosexual
bivalent|divalent,double,power|univalent
bivalve|mollusc,mollusk,shellfish|univalve
black|actress,angry,blackamoor,blacken,blackness,bleak,bootleg,calamitous,chemist,clad,clothing,color,colored,colorful,contraband,covert,dark,darkness,dirty,disastrous,discolor,disgraceful,dishonorable,evil,fatal,fateful,grim,habiliment,hopeless,ignominious,illegal,individual,inglorious,inkiness,mordant,mortal,opprobrious,person,piece,pitch-black,pitch-dark,sarcastic,shameful,sinister,smutty,somebody,someone,soul,unclean,undiluted,unfortunate,wear,wearable|white,whiten
blacken|black,burn,char,color,discolor,scorch,sear|whiten
blackness|black,dark,darkness,inkiness|white
blame|accusation,accuse,ascribe,assign,attribute,blasted,blessed,charge,criticize,cursed,damned,darned,fault,impute,infernal,knock,pick,reproach|absolve
blandish|flatter,praise|disparage
block|accumulation,aggregation,anesthetize,area,artefact,artifact,assemblage,barricade,block,blockade,blockage,boss,cast,casting,choke,clog,closure,collection,conceal,congest,country,cube,deflect,disrupt,embarrass,emboss,fence,forbid,foreclose,forestall,forget,form,foul,freeze,halt,hide,hinder,hold,housing,immobilize,impede,impediment,impedimenta,inability,interrupt,kibosh,lodging,machine,obstruct,obstruction,occlude,occlusion,operate,parry,platform,preclude,prevent,pulley,shape,solid,stamp,stop,stoppage,stuff,stymie,support,sustain,withhold|unblock,unfreeze
blonde|blond,fair,flaxen,individual,mortal,person,redheaded,sandy,somebody,someone,soul,towheaded|brunet
bloodless|ashen,colorless,dead,livid,nonhuman,nonviolent,spiritless,white|bloody
bloody|all-fired,bloodstained,bloodsucking,bloodthirsty,blooming,cover,crimson,flaming,gory,homicidal,internecine,merciless,murderous,sanguinary,unmerciful,unmitigated,violent|bloodless
blow|amplify,blast,bluster,boast,bobble,bollix,botch,brag,break,bumble,bump,bungle,burst,cocaine,coke,depart,direct,discharge,disclose,discover,displace,divulge,drift,drop,eject,exaggerate,excite,exhalation,exhale,expel,expend,expiration,expire,expose,fail,float,flub,fluff,form,fumble,gush,gust,happening,impact,impart,magnify,miscarry,mishandle,move,muff,occurrence,overdraw,overstate,puff,release,repose,rest,reveal,reversal,reverse,send,setback,shape,shock,snow,sound,spend,split,spoil,spout,spurt,squander,stimulate,stir,stroke,surprise,swash,tout,travel,unwrap,vaunt,waste,wind|conserve
blubber|avoirdupois,fatness,mouth,sniffle,snivel,snuffle,speak,talk,utter,verbalize,weep|leanness
blue-collar|industrial,lower-class,manual,unskilled|white-collar
blunt|alter,benumb,candid,change,crude,deaden,desensitize,direct,dull,forthright,frank,modify,numb,outspoken,plainspoken,point-blank,pointless,stark,weaken|enliven,sharpen
bluntness|conformation,contour,dullness,form,shape|sharpness
blurriness|fogginess,fuzziness,opacity,opaqueness,softness|distinctness,sharpness
bottom|backside,behind,bout,buns,butt,buttocks,depression,derriere,face,fanny,fathom,freighter,furnish,ground,hindquarters,inferior,land,lowermost,merchantman,nether,nethermost,part,penetrate,posterior,provide,rear,region,render,round,rump,seat,side,soil,stern,strike,supply,tail,turn,tush,underside,understand,worst|side
brace|affect,arouse,braces,bracing,couple,couplet,deuce,duet,energize,fortify,hold,pair,poise,prepare,punctuation,ready,rope,span,stabilize,steady,stimulate,stock,strengthen,strengthener,support,suspender,sustain,twain,twosome,yoke|sedate
brave|adventurous,audacious,bold,colorful,courageous,dauntless,defy,desperate,endure,fearless,gallant,game,gamey,gamy,gritty,heroic,hold,intrepid,lionhearted,mettlesome,people,resolute,spirited,spunky,stalwart,stouthearted,unafraid,undaunted,valiant,valorous,warrior,weather,withstand|cowardly
breakable|article,brittle,crumbly,delicate,fragile,frail,frangible,friable,short,splintery|unbreakable
breathing|activity,respiration,ventilation|breathless
breathless|blown,breathtaking,dead,exciting,inanimate,short-winded,winded|breathing
bright|agleam,aglitter,aglow,ardent,auspicious,beady,blazing,blinding,brightly,brilliant,brilliantly,burnished,clear,colorful,dazzling,effulgent,flashing,glaring,glimmering,glittering,glittery,glorious,glossy,happy,intelligent,iridescent,lambent,light,luminous,lurid,lustrous,nacreous,opalescent,polished,promising,radiant,refulgent,ringing,sheeny,shimmery,shining,shiny,silver,silvery,smart,sunny,sunshiny,twinkling,undimmed,vivid|dull
brighten|alter,change,clear,lighten,modify|darken,overcast
brightness|cleverness,intelligence,light,lightness,luminosity,smartness|dullness
broaden|alter,broaden,change,diversify,extend,increase,vary,widen|specialize
brotherly|fraternal|sisterly
brunet|brown,brunette,dark,dusky,grizzled,individual,mortal,person,somebody,someone,soul,suntanned,swarthy,tanned|blond
brunette|brown,brunet,dark,dusky,grizzled,individual,mortal,person,somebody,someone,soul,suntanned,swarthy,tanned|blond
buckle|break,clasp,collapse,crumple,distortion,fasten,fastener,fastening,founder,give,heave,secure,warp|unbuckle
bulk|bulge,figure,magnitude,majority,mass,number,pouch,protrude,swell,volume|minority
bull|bloomer,blooper,blunder,boner,botch,bruiser,bungle,cattle,center,climb,copper,decree,edict,fiat,flub,foul-up,fuzz,house,individual,investor,kine,mansion,midpoint,mortal,officer,order,oxen,person,placental,policeman,pratfall,push,rise,sign,somebody,someone,soul,speculate|bear
bump|assign,blow,break,bulge,chance,dance,delegate,demote,depute,designate,dislodge,displace,eject,encounter,exclude,excrescence,expel,extrusion,find,happen,harm,hump,hurt,impact,injury,knock,projection,prominence,protrusion,protuberance,relegate,strike,trauma|promote
bumpy|jumpy,rocky,rough|smooth
burden|charge,command,compel,concern,core,effect,encumbrance,essence,gist,headache,idea,import,load,loading,meaning,onus,require,saddle,significance,thought,vexation,weight,worry|unburden
cacophonous|croaky,grating,gravel,gravelly,gruff,guttural,hoarse,husky,jarring,noisy,piercing,raspy,raucous,rough,scratchy,splitting,strident|euphonious
calculable|countable,determinable,enumerable,estimable,numerable|incalculable
calm|affect,becalm,calmness,comfort,composed,composure,console,content,contented,disposition,easygoing,equanimity,lull,peaceful,placid,quiet,sedate,serene,settled,smooth,solace,soothe,stabilize,steady,still,temperament,tranquil,tranquilize,tranquillize,turn,unruffled,windless|stormy,discomposure
capability|ability,aptitude,capacity,potentiality|incapability
carefully|cautiously|carelessly
carefulness|caution,cautiousness|carelessness
careless|artless,casual,cursory,haphazard,heedless,imprudent,inattentive,incautious,negligent,offhand,offhanded,passing,perfunctory,reckless,regardless,slapdash,slipshod,sloppy,superficial,thoughtless,unconcerned|careful
carelessly|heedlessly,raffishly,rakishly|carefully
carelessness|neglect,negligence,sloppiness|carefulness
carnivorous|placental|herbivorous,omnivorous
cash|change,currency,exchange,interchange,payment,singer,vocalist|credit
cautiously|carefully,guardedly|carelessly
celebrity|fame,honor,laurels,personage,renown|infamy
cenobite|religious|eremite
center|area,building,central,centrist,cerebrate,class,cogitate,concentrate,concern,confection,content,core,country,displace,edifice,essence,focus,formation,gist,halfway,heart,kernel,lineman,mall,marrow,meat,middle,midpoint,midway,move,nitty-gritty,object,outlet,parcel,pertain,pith,place,plaza,point,pore,position,property,refer,relate,rivet,snapper,substance,sweet,think,touch,tract|right
central|bifocal,cardinal,center,centered,exchange,focal,fundamental,halfway,important,inner,medial,median,middle,middlemost,midmost,midway,nuclear,point,primal,work,workplace|peripheral
centralize|alter,change,concentrate,modify|decentralize
centrifugal|efferent,motor|centripetal
centripetal|afferent,receptive,sensory|centrifugal
cerebral|intellectual|emotional
certain|bound,careful,confident,convinced,definite,dependable,destined,doomed,fated,indisputable,positive,predestined,predictable,reliable,sealed,sure|uncertain,unsealed,unsure
changeless|constant,immutable,invariable,unalterable,unchangeable,unvarying|mutable
charge|account,accusation,accuse,agitate,alter,appoint,ascribe,assertion,asseveration,assign,assignment,attack,attribute,bang,bearing,bidding,bill,billing,blame,boot,buck,burden,calculate,care,change,claim,command,commission,commit,compel,complaint,confide,consign,cost,debit,dependant,dependent,determine,dictation,direct,direction,disturb,entrust,excite,excitement,exhilaration,explosive,file,fill,flush,furnish,guardianship,hasten,heraldry,hotfoot,impeach,impregnate,impute,incriminate,instruct,intrust,kick,level,liabilities,load,lodge,mission,modify,onrush,onset,onslaught,paint,pleading,point,protection,provide,race,render,request,require,rouse,rush,saddle,saturate,send,shoot,speed,supply,take,tear,thrill,train,transfer,trouble,trust,tutelage,upset|calm,discharge
chariness|caution,wariness|unwariness
charitable|beneficent,benevolent,eleemosynary,generous,gift,giving,kind,kindly,openhearted,sympathetic|uncharitable
chaste|celibate,continent,moral,plain,pure,vestal,virgin,virginal,virtuous|unchaste
cheap|affordable,brassy,cheesy,chintzy,crummy,cut-price,cut-rate,flash,flashy,garish,gaudy,gimcrack,inexpensive,inferior,loud,meretricious,punk,sleazy,stingy,tacky,tasteless,tawdry,tinny,trashy,ungenerous|expensive
cheaply|stingily|expensively
check|account,agree,alter,analyze,appraisal,arrest,ascertain,assay,assessment,assure,attack,balk,bill,blemish,block,blockade,break,bridle,canvas,canvass,change,charge,checker,checkout,chink,chip,chit,condition,confirmation,consign,contain,control,correspond,crack,curb,defect,defend,delay,determine,deterrent,develop,difficulty,discipline,draft,draw,embarrass,ensure,equal,examine,gibe,halt,handicap,hinder,hindrance,hitch,hold,impediment,inaction,inactivity,inspection,insure,invoice,issue,jibe,keep,learn,mark,match,moderate,modify,move,obstruct,obstruction,proof,restrain,restraint,retard,review,stay,stop,stoppage,study,stymie,suppress,tally,tick,train,verification,verify,watch,weave|disagree
cheer|applaud,approval,attribute,barrack,cheerfulness,commendation,embolden,encourage,exhort,hearten,inspire,recreate,rejoice,sunniness,sunshine,urge|complain,dishearten
cheerful|blithe,blithesome,buoyant,cheery,chipper,debonair,glad,happy,jaunty,lighthearted,optimistic,perky,sunny,twinkly,upbeat|cheerless
cheerless|blue,dark,depressing,dingy,disconsolate,dismal,drab,drear,dreary,gloomy,grim,joyless,melancholy,somber,sorry,unhappy|cheerful
child|baby,descendant,descendent,individual,issue,juvenile,minor,mortal,nestling,nipper,offspring,person,progeny,shaver,somebody,someone,soul,tike,tyke,youngster|parent
chill|alter,apprehension,change,chilly,cold,coldness,cool,deject,demoralize,depress,dismay,dispirit,dread,fear,fearfulness,fright,frigidity,frigidness,iciness,modify,pall,quiver,shiver,shudder,symptom,thrill,tingle,turn|heat
choke|asphyxiate,become,block,breathe,clog,coil,compact,compress,congest,conk,constrict,contract,croak,dampen,decease,enrich,exit,expire,fail,foul,fret,hurt,impede,neglect,obstruct,occlude,pass,perish,press,respire,sicken,squeeze,stifle,strangle,suffer,suffocate,suppress,throttle,turn,valve|unclog
chromatic|amber,amethyst,auburn,avocado,azure,beige,blue,bluish,bronze,brown,brownish,buff,canary,caramel,carmine,carnation,cerise,cerulean,chartreuse,cherry,chestnut,cinnabar,colored,colorful,coppery,coral,creamy,crimson,cyan,drab,gilt,gold,golden,green,greenish,hazel,honey,jade,khaki,lavender,lilac,magenta,maroon,mauve,mousey,mousy,ocher,ochre,olive,orange,peachy,pink,pinkish,purple,purplish,reddish,rose,roseate,rosy,ruby,ruddy,russet,rust,rusty,sage,salmon,sapphire,scarlet,sky-blue,snuff,sorrel,stone,straw,tangerine,taupe,tawny,teal,ultramarine,umber,vermilion,vermillion,violet,watercress,yellow,yellowish|diatonic
chronic|degenerative,prolonged|acute
cipher|aught,calculate,code,commoner,compute,digit,encipher,encode,figure,inscribe,message,naught,nobody,nonentity,nothing,nought,null,reason,reckon,write,zero,zilch|decode
circular|advert,advertising,annular,bill,broadsheet,broadside,bulbous,cyclic,cyclical,flier,flyer,global,globular,handbill,orbicular,ringed,ringlike,rotary,round,rounded,roundish,spherical,throwaway|square
civil|civic,civilian,civilized,national,polite,subject|uncivil,sidereal
civilian|citizen,civil,noncombatant|military,serviceman
clarity|clearness,limpidity,lucidity,lucidness,quality|obscurity
clasp|brooch,buckle,clench,clutch,fasten,fastener,fastening,grasp,grasping,grip,hold,secure,seize|unclasp
classicist|artist,humanist|romanticist
classified|confidential,restricted,secret,sensitive,top-secret|unclassified
classify|assign,assort,attribute,categorize,class,relegate,restrict,separate,sort|declassify
clean|adroit,alter,antiseptic,blank,change,clean,cleanable,cleanly,cleanse,clear,complete,decent,deprive,divest,empty,fair,fairly,fresh,groom,halal,houseclean,immaculate,just,kosher,legible,light,modify,moral,neat,neaten,perfect,pick,plum,plumb,pristine,pure,remove,scavenge,sporting,sporty,spotless,straighten,strip,take,tidy,unarmed,unblemished,unclouded,uninfected,unqualified,unsoiled,unstained,unsullied,unused,white,withdraw|dirty,unfairly,unclean
cleanness|innocence,pureness,purity,whiteness|dirtiness
clear|acquire,acquit,allow,alter,area,authorize,bear,benefit,bright,brighten,broad,change,clarify,clean,clean-cut,clear,clear-cut,clearheaded,clearly,cloudless,countenance,country,create,crystalline,crystallize,decipherable,definite,determine,disappear,discerning,discharge,distinct,earn,elucidate,empty,enlighten,exculpate,exonerate,fair,free,gain,guiltless,illuminate,innocence,innocent,judge,label,legible,light,limpid,liquid,lucid,make,modify,open,overhaul,overtake,pass,pellucid,percipient,perfect,permit,perspicuous,profit,pronounce,pure,readable,realize,remove,sack,sell,serene,settle,shining,shiny,solve,succeed,sunny,sunshiny,take,translucent,transparent,trenchant,unambiguous,unblemished,unclouded,unencumbered,unmistakable,unobstructed,unqualified,untroubled,vanish,vivid,well-defined,withdraw,yield|cloudy,convict,bounce,overcast,unclear,clutter,opaque
clearheaded|clear,unclouded|confused
clearness|clarity,limpidity,lucidity,lucidness,quality|obscurity
close|accurate,adjacent,airless,ambient,approach,approximate,barricade,block,blockade,boon,careful,cease,chummy,close-knit,close-set,closely,closemouthed,closing,complete,conclude,conclusion,confidential,confined,contiguous,cozy,dear,ending,engage,equal,faithful,familiar,fill,finale,fine,finis,finish,fold,good,hand-to-hand,immediate,imminent,impending,intimate,join,last,move,near,nearby,neighboring,next,nigh,private,prosecute,proximate,pursue,restrained,secretive,section,short,shut,skinny,snug,stingy,stop,stuffy,subdivision,surrounding,terminate,thick,tight,trade,turn,ungenerous,walking,warm|open,distant
closed|closed,compressed,drawn,enclosed,restricted,sealed,shut,tight,union|open
closeness|distance,familiarity,friendliness,intimacy,meanness,nearness,parsimony,quality,stinginess,stuffiness,tightness|openness
closing|approach,close,closure,coming,completion,concluding,conclusion,culmination,ending,final,last,motility,motion,move,movement,section,shutdown,subdivision,terminal,termination,windup|opening
